comid,MMI_BENT,agkffact,bfi,cbnf,conif,crophay,fert,manure,pestic1997,urbmdhi,lon,lat,easting,northing,state
23491403,0.59,0,75.08310455,0,48.57516214,0,0,0,0,0.001198854,-114.8610083,43.91370781,-1255.96606,5100.557189,Idaho
14748290,0.536,0.074817073,25.91068867,3.826219512,0,43.46006695,6.887195122,1.275406504,16.50919284,0.023912004,-99.27937822,45.81108723,12.14904873,5092.265385,South Dakota
20415502,0.196,0.000123775,27.21236281,0.00722449,14.24381059,0.014873949,0.019973589,0.037822328,0.020719291,0.524185983,-112.267307,33.84496737,-1295.093434,3916.973759,Arizona
12259500,0.334,0.188860774,49.4687298,23.62226743,0.094469397,65.11178879,35.20312992,0.695381772,104.4025175,2.627740856,-85.05515439,41.59921508,1162.335947,4635.871345,Indiana
11908860,0.701,0.186561713,36.87657431,5.952141058,0,57.17884131,10.50377834,0,102.0080596,0.125944584,-76.64503817,38.4811896,1930.721739,4388.238054,Maryland
3921415,0.412,0.234029539,36.90794006,33.71624619,0.625755144,63.88292788,62.42428723,0.646799993,150.9846175,1.338070077,-84.96861593,39.61188966,1189.843998,4415.620497,Indiana
9315177,0.874,0.003565819,59.3321153,0.126917839,16.91783931,1.13481616,0.317294598,0.01586473,0.218417432,0.333635951,-71.09323177,43.83668384,2262.026167,5093.024484,New Hampshire
14726716,0.356,0.191124036,65.08288579,9.666871445,0.2714968,66.11838846,42.53423436,5.155664771,572.943451,0.985909911,-89.14451771,45.14173659,803.1199536,5005.930531,Wisconsin
2529647,0.492,0.254651008,21.0616433,16.81505352,0.001822541,72.77123964,24.67079942,0.744055617,62.6200701,0.486121351,-94.51748968,39.4336223,369.4007353,4365.996587,Missouri
6083019,0.416,0,50,0,2.688172043,0,0,0,0.761403419,0.806451613,-72.39685246,43.79541796,2158.367998,5060.181699,Vermont
23707724,0.785,0,79,0,87.07692308,0,0,0,0,0,-122.0500188,43.42275589,-1853.215765,5236.832481,Oregon
18459676,0.579,0.322973295,41.84313451,50.13576786,0.007009182,91.77822948,67.42405551,1.133174459,196.2712146,0.44858765,-85.41588264,39.75722125,1150.01041,4428.413321,Indiana
14362370,0.751,0.029318334,35.30006683,1.631543774,0.935620405,6.71641791,1.312987302,0.59979951,6.569348566,1.058142125,-78.65185176,39.7045912,1732.306408,4494.68856,Maryland
167246042,0.346,0.141636814,61,10.78563262,0.342987805,23.11356707,15.00609756,2.344702744,44.02588484,30.18292683,-104.9993608,40.52695061,-517.4744559,4556.033221,Colorado
14787705,0.296,0.102193114,41.98577844,12.42889222,0.149700599,29.64071856,20.99101796,0,39.56502364,0.374251497,-87.18351329,41.43615957,986.0407244,4603.533477,Indiana
8740423,0.367,0.154078212,39,12.65642458,9.916201117,65.36312849,15.95810056,0,671.7690217,0.279329609,-77.61561289,36.62870195,1880.155708,4165.790972,Virginia
532001,0.619,0.005820276,21,0.078818199,0,0.821219558,0.898527468,0.03152728,1.343579554,0.132150274,-97.27030869,35.8308463,114.1937943,3973.612569,Oklahoma
13463639,0.42,0,30,0,0,0,0,0,55.64503722,36.40256959,-87.50166296,41.53787506,958.7244361,4613.088569,Indiana
807963,0.501,0,50,0,23.17073171,0,0,0,0,0,-69.14686515,46.43397921,2328.458849,5426.076392,Maine
